min,max,Year,Where,SirenType,OperationType,Address,MemoryText
0,60,1988 / Haifa,haifa,2,Erev Yom Hazikaron,"6 Aba Hillel Silver, Haifa",
60,120,1988 / Haifa,haifa,2,Yom Hazikaron,"6 Aba Hillel Silver, Haifa",
120,180,1988 / Haifa,haifa,2,Holocaust Remembrance Day,"6 Aba Hillel Silver, Haifa",
180,240,1988 / Haifa,haifa,1,False Alarm,"6 Aba Hillel Silver, Haifa",
240,300,1989 / Haifa,haifa,2,Erev Yom Hazikaron,"6 Aba Hillel Silver, Haifa",
300,360,1989/ Haifa,haifa,2,Yom Hazikaron,"6 Aba Hillel Silver, Haifa",
360,420,1989 / Haifa,haifa,2,Holocaust Remembrance Day,"6 Aba Hillel Silver, Haifa",
420,480,1989 / Haifa,haifa,1,False Alarm,"6 Aba Hillel Silver, Haifa",
480,540,1989 / Haifa,haifa1,1,False Alarm,"6 Aba Hillel Silver, Haifa",
540,600,1990 / Haifa,haifa,2,Erev Yom Hazikaron,"6 Aba Hillel Silver, Haifa",
600,660,1990 / Haifa,haifa,2,Yom Hazikaron,"6 Aba Hillel Silver, Haifa",
660,720,1990 / Haifa,haifa,2,Holocaust Remembrance Day,"6 Aba Hillel Silver, Haifa",
720,780,1990 / Haifa,haifa,1,False Alarm,"6 Aba Hillel Silver, Haifa",
780,840,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa","I was in the living room playing with my Playmobil Zoo
I tried to grab and save all of my animals when the siren went on."
840,900,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
900,960,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
960,1020,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1020,1080,1991 / Haifa,haifa1,1,The Gulf War,"28 Yekhezkel Koifman st, Haifa",
1080,1140,1991 / Haifa,haifa1,1,The Gulf War,"28 Yekhezkel Koifman st, Haifa",
1140,1200,1991 / Haifa,haifa1,1,The Gulf War,"28 Yekhezkel Koifman st, Haifa",
1200,1260,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1260,1320,1991 / Haifa,haifa1,1,The Gulf War,"28 Yekhezkel Koifman st, Haifa",
1320,1380,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa","We celebrated my birthday at my aunt’s house.
She had better shelter.
I remember a big round table, a proper beautiful birthday cake and a lot of gas masks."
1380,1440,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1440,1500,1991 / Haifa,haifa1,1,The Gulf War,"28 Yekhezkel Koifman st, Haifa","I followed my father around the house even when he went to the bathroom.
A siren went on.
I got really scared and I fell to the back of the bathtub and broke my hand.
"
1500,1560,1991 / Haifa,haifa1,1,The Gulf War,"28 Yekhezkel Koifman st, Haifa",
1560,1620,1991 / Haifa,haifa1,1,The Gulf War,"28 Yekhezkel Koifman st, Haifa",
1620,1680,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1680,1740,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1740,1800,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1800,1860,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1860,1920,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1920,1980,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
1980,2040,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
2040,2100,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
2100,2160,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
2160,2220,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
2220,2280,1991 / Haifa,haifa,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
2280,2340,1991 / Haifa,haifa1,1,The Gulf War,"6 Aba Hillel Silver, Haifa",
